dataset: ../../48_6_layer_sentences_balanced_newline.txt
seed: 2395333166
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 5000
learning_rate: 0.001

epoch, train_loss, test_loss, n_in_sample, n_out_of_sample, n_invalid
311 0.08131648600101471 3.581662178039551 0 0 0
312 0.08080612868070602 3.584383487701416 0 0 0
313 0.08024544268846512 3.5874485969543457 0 0 0
314 0.07968928664922714 3.5903689861297607 0 0 0
315 0.07916213572025299 3.5935537815093994 0 0 0
316 0.07866498082876205 3.5960943698883057 0 0 0
317 0.07818444818258286 3.5985870361328125 0 0 0
318 0.0776766985654831 3.601748466491699 0 0 0
319 0.07715874165296555 3.6042699813842773 0 0 0
320 0.0766490027308464 3.607182741165161 0 0 0
321 0.07616099715232849 3.610485553741455 0 0 0
322 0.07568494975566864 3.613215446472168 0 0 0
323 0.07520677894353867 3.6161675453186035 0 0 0
324 0.07474283874034882 3.618997573852539 0 0 0
325 0.07428209483623505 3.621560573577881 0 0 0
326 0.07381182909011841 3.6242899894714355 0 0 0
327 0.07333742082118988 3.6267504692077637 0 0 0
328 0.07288523018360138 3.6294779777526855 0 0 0
329 0.07244614511728287 3.6324057579040527 0 0 0
330 0.07200130820274353 3.635037422180176 0 0 0
331 0.07155010849237442 3.6378204822540283 0 0 0
332 0.07112134993076324 3.640690326690674 0 0 0
333 0.07069923728704453 3.6431918144226074 0 0 0
334 0.07026643306016922 3.645672559738159 0 0 0
335 0.06984707713127136 3.6482434272766113 0 0 0
336 0.06944462656974792 3.6509761810302734 0 0 0
337 0.0690319761633873 3.653650999069214 0 0 0
338 0.06861907988786697 3.6563470363616943 0 0 0
339 0.06820135563611984 3.6594057083129883 0 0 0
340 0.06778864562511444 3.6618895530700684 0 0 0
341 0.0673951804637909 3.664303779602051 0 0 0
342 0.0670023113489151 3.6673402786254883 0 0 0
343 0.06661498546600342 3.6698250770568848 0 0 0
344 0.06624785810709 3.672039270401001 0 0 0
345 0.06588495522737503 3.67474365234375 0 0 0
346 0.06551715731620789 3.6773271560668945 0 0 0
347 0.0651247650384903 3.6798782348632812 0 0 0
348 0.06474312394857407 3.682447910308838 0 0 0
349 0.06434307247400284 3.685183525085449 0 0 0
350 0.06396445631980896 3.6877927780151367 0 0 0
351 0.06360021978616714 3.690225601196289 0 0 0
352 0.06324239820241928 3.6927566528320312 0 0 0
353 0.06290876865386963 3.6952967643737793 0 0 0
354 0.06258063018321991 3.697834014892578 0 0 0
355 0.062241990119218826 3.700272560119629 0 0 0
356 0.06188204139471054 3.703115463256836 0 0 0
357 0.061514683067798615 3.706019163131714 0 0 0
358 0.06115291267633438 3.708214282989502 0 0 0
359 0.06081005185842514 3.7104640007019043 0 0 0
360 0.060479775071144104 3.713102340698242 0 0 0
361 0.06015228107571602 3.7153544425964355 0 0 0
362 0.059834033250808716 3.717637538909912 0 0 0
363 0.05950973182916641 3.7205166816711426 0 0 0
364 0.05917961150407791 3.7231993675231934 0 0 0
365 0.05884670466184616 3.7256503105163574 0 0 0
366 0.05852022394537926 3.728193759918213 0 0 0
367 0.05821007117629051 3.7308177947998047 0 0 0
368 0.05789925903081894 3.7331490516662598 0 0 0
369 0.05759513005614281 3.735469102859497 0 0 0
370 0.05728369951248169 3.738229990005493 0 0 0
